Vendor,ProductCount,Tiers,CurrentAIPSDeliveryMethod,TermsURL,PricingURL,AccountSharingRule,CredentialSharingRule,TeamSeatRule,FamilySharingRule,ResaleRule,TransferRule,CommercialUseRule,Classification,DateChecked,Evidence,RequiredAction
"Otter.ai",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Perplexity",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Pika",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"QuillBot",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Remove.bg Pro",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Scholarcy Premium",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Suno",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Synthesia",1,"Starter Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Tidio",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Udio",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"v0.dev",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Windsurf",1,"Pro Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Wordtune Premium",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
"Writesonic",1,"Shared","Shared login pooled across multiple paying customers",,,,,,,,,,"Unverified",,"data/products.json accessType=shared","Verify credential/account-sharing terms against vendor's current ToS before continuing to sell as-is"
